NU_ANO_CENSO|CO_IES|NO_IES|SG_IES|CO_MANTENEDORA|NO_MANTENEDORA|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_REGIAO|CO_UF|CO_MUNICIPIO|IN_CAPITAL|QT_TEC_TOTAL|QT_TEC_FUNDAMENTAL_INCOMP_FEM|QT_TEC_FUNDAMENTAL_INCOMP_MASC|QT_TEC_FUNDAMENTAL_COMP_FEM|QT_TEC_FUNDAMENTAL_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_REPOSITORIO_INSTITUCIONAL|IN_BUSCA_INTEGRADA|IN_SERVICO_INTERNET|IN_PARTICIPA_REDE_SOCIAL|IN_CATALOGO_ONLINE|QT_PERIODICO_ELETRONICO|QT_LIVRO_ELETRONICO|TP_REFERENTE|VL_RECEITA_PROPRIA|VL_RECEITA_TRANSFERENCIA|VL_RECEITA_OUTRA|VL_DESPESA_PESSOAL_DOCENTE|VL_DESPESA_PESSOAL_TECNICO|VL_DESPESA_PESSOAL_ENCARGO|VL_DESPESA_CUSTEIO|VL_DESPESA_INVESTIMENTO|VL_DESPESA_PESQUISA|VL_DESPESA_OUTRA
2017|1|UNIVERSIDADE FEDERAL DE MATO GROSSO|UFMT|1|FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO|1|1|5|51|5103403|1|1574|3|37|8|29|110|189|163|150|367|270|140|73|22|13|1|1|1|0|1|0|1|0|0|2|6913131.86|950963759.71|0|369850469.79|145689319.22|115324747.99|123186331.6|4285371.58|5807924.06|193732727.33
2017|2|UNIVERSIDADE DE BRASÍLIA|UNB|2|FUNDACAO UNIVERSIDADE DE BRASILIA|1|1|5|53|5300108|1|3206|0|0|15|51|226|290|299|417|770|629|231|198|46|34|1|1|1|0|1|1|1|0|1000000|2|63239901.76|76828439.99|48513832.44|1054835250.8|0|1054835250.8|186144345.72|34793322.34|5772538.37|426312186.48
2017|3|UNIVERSIDADE FEDERAL DE SERGIPE|UFS|3|FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE|1|1|2|28|2806701|0|1429|1|32|6|25|120|167|634|432|0|0|4|7|1|0|1|1|1|1|1|1|1|93536|248828|2|3161936.64|748423074.24|5562078.22|219984679.98|118453289.21|89153211.21|123091332.1|36066530.7|3033336.32|162578243.29
2017|4|UNIVERSIDADE FEDERAL DO AMAZONAS|UFAM|4|FUNDACAO UNIVERSIDADE DO AMAZONAS|1|1|1|13|1302603|1|1721|12|15|1|25|210|226|207|211|386|258|85|57|15|13|1|1|1|0|1|1|1|0|3212|1|4136204.67|808590674|16448437.1|351145046.32|0|108193577.02|174155874.85|18561793.03|1490990.75|134878997.88
2017|6|UNIVERSIDADE FEDERAL DE OURO PRETO|UFOP|6|UNIVERSIDADE FEDERAL DE OURO PRETO|1|1|3|31|3146107|0|786|7|52|4|21|36|101|58|104|121|118|83|56|15|10|1|0|1|1|1|0|1|0|187|2|3458763.09|438849133.95|4145839.29|167384532.11|80821373.82|39134268.32|39819819.25|1376474.81|748715.26|117168552.76
2017|10|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ|PUCPR|10|ASSOCIACAO PARANAENSE DE CULTURA - APC|5|1|4|41|4106902|1|1275|1|2|4|5|280|235|309|138|150|90|22|21|10|8|1|1|1|1|1|0|1|56012|24003|2|616991005.09|4604018.07|7616897.15|178811282.84|41943387.33|94546966.76|94772702.49|207189514.59|11948066.3|0
2017|11|UNIVERSIDADE CATÓLICA DE PERNAMBUCO|UNICAP|11|CENTRO DE EDUCACAO TECNICA E CULTURAL|5|1|2|26|2611606|1|441|2|9|1|9|59|73|112|91|42|32|2|7|0|2|1|1|0|0|1|1|1|174|1210|2|142785305|0|36254744|68156463|30087219|37550560|51192042|8671066|560400|1536624
2017|13|UNIVERSIDADE DE CAXIAS DO SUL|UCS|13|FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL|5|1|4|43|4305108|0|986|8|12|22|16|226|259|215|79|90|29|17|8|4|1|1|1|1|1|1|1|1|0|13000|2|338035350.6|0|24067759.94|119341088.5|41930652.72|39643041|131632762.23|7061398|3380182|0
2017|14|UNIVERSIDADE DO VALE DO RIO DOS SINOS|UNISINOS|14|ASSOCIACAO ANTONIO VIEIRA|5|1|4|43|4318705|0|1062|4|4|12|6|314|283|162|58|81|29|53|44|7|5|1|1|1|1|1|1|1|14045|90|2|487902230|30981694|76845428|130554475|36941313|50611098|90154420|14791000|6687713|28071552
2017|18|UNIVERSIDADE CATÓLICA DE PELOTAS|UCPEL|18|SOCIEDADE PELOTENSE DE ASSISTENCIA E CULTURA(SPAC)|5|1|4|43|4314407|0|246|3|4|2|5|25|28|76|42|30|14|10|5|0|2|1|1|1|0|1|0|1|38|7232|2|100089191.25|0|5236488.8|28326092.49|11892676.3|8868637.85|321894.11|2414462.92|3540465.48|53828869.96
